Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF 0805 X5R 25V (or better)","C_0805_2012Metric",130.430000,-83.125000,90.000000,top
"C2","10uF 16V X5R (or better)","C_0805_2012Metric",125.207500,-90.187500,-90.000000,top
"C3","100nF (0.1uF) 0805 X5R 10V (or better) ","C_0805_2012Metric",132.480000,-83.145000,90.000000,top
"C4","2.2uF 0805 X5R 25V (or better)","C_0805_2012Metric",134.810000,-94.650000,0.000000,top
"C5","2.2uF 0805 X5R 25V (or better)","C_0805_2012Metric",138.090000,-91.400000,90.000000,top
"C6","0.47uF 0805 X7R 50V (or better)","C_0805_2012Metric",129.520000,-91.740000,90.000000,top
"C7","4.7uF 0805 X5R 25V (or better)","C_0805_2012Metric",138.860000,-83.115000,90.000000,top
"C8","100nF (0.1uF) 0805 X5R 10V (or better) ","C_0805_2012Metric",123.300000,-93.780000,-90.000000,top
"C9","4.7uF 0805 X5R 25V (or better)","C_0805_2012Metric",125.350000,-93.760000,-90.000000,top
"D1","LED GREEN CLEAR 0805 SMD","LED_0805_2012Metric",133.470000,-87.892500,180.000000,top
"D3","LED GREEN CLEAR 0805 SMD","LED_0805_2012Metric",116.380000,-90.190000,-90.000000,top
"D4","SMAJ5.0A","D_SMA",135.632500,-79.512500,0.000000,top
"D5","D_Schot","D_DO-41_SOD81_P7.62mm_Horizontal",124.900000,-86.300000,180.000000,top
"IC1","MAX1595EUA50+","SOP65P490X110-8N",133.840000,-91.710000,180.000000,top
"J1","JST_PH","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",146.610000,-82.260000,90.000000,top
"J4","JST_BH","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",119.850000,-80.830000,180.000000,top
"Q1","Q_PMOS_GSD","SOT-23",122.197500,-90.200000,180.000000,top
"R1","470k 0805 1% ","R_0805_2012Metric",116.340000,-93.780000,90.000000,top
"R2","470R 0805 1%","R_0805_2012Metric",136.730000,-86.622500,90.000000,top
"R3","2k 0805 1%","R_0805_2012Metric",133.450000,-85.892500,0.000000,top
"R4","470R 0805 1%","R_0805_2012Metric",118.390000,-90.200000,-90.000000,top
"U1","MCP73832-2-OT","SOT-23-5",135.670000,-83.125000,180.000000,top
"U2","LTC4412xS6","TSOT-23-6",120.160000,-93.782500,180.000000,top
