"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C9,C7,C1";"C_0805_2012Metric";3;"4.7uF 0805 X5R 25V (or better)";;;
2;"R1";"R_0805_2012Metric";1;"470k 0805 1% ";;;
3;"C8,C3";"C_0805_2012Metric";2;"100nF (0.1uF) 0805 X5R 10V (or better) ";;;
4;"H1";"MountingHole_3.2mm_M3_Pad_Via";1;"MH";;;
5;"IC1";"SOP65P490X110-8N";1;"MAX1595EUA50+";;;
6;"Q1";"SOT-23";1;"Q_PMOS_GSD";;;
7;"C5,C4";"C_0805_2012Metric";2;"2.2uF 0805 X5R 25V (or better)";;;
8;"D4";"D_SMA";1;"SMAJ5.0A";;;
9;"D5";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"D_Schot";;;
10;"C6";"C_0805_2012Metric";1;"0.47uF 0805 X7R 50V (or better)";;;
11;"J4";"JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal";1;"JST_BH";;;
12;"J1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"JST_PH";;;
13;"U1";"SOT-23-5";1;"MCP73832-2-OT";;;
14;"D1,D3";"LED_0805_2012Metric";2;"LED GREEN CLEAR 0805 SMD";;;
15;"R2,R4";"R_0805_2012Metric";2;"470R 0805 1%";;;
16;"H2";"MountingHole_2.2mm_M2_Pad_TopOnly";1;"MH";;;
17;"U2";"TSOT-23-6";1;"LTC4412xS6";;;
18;"R3";"R_0805_2012Metric";1;"2k 0805 1%";;;
19;"C2";"C_0805_2012Metric";1;"10uF 16V X5R (or better)";;;
